session_id,purchase_probability,intent_segment,recommended_action,actual_revenue,customer_cluster,behavior_segment,decision_priority,campaign_type,suggested_channel,chatbot_route
1939,0.026772462,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
2259,0.0019697084,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
2856,0.007102428,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7300,0.14571229,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
1793,0.8129359,High Intent,Send checkout reminder or limited-time offer,0,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
10162,0.96059346,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
1037,0.023270909,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
3925,0.009708376,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10166,0.12828429,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10165,0.6584577,Medium Intent,Send educational content about Nattoguard benefits,0,1,Moderate Interest Visitors,Priority 3 - Education Needed,Educational Nurture Campaign,Email Newsletter / Product Education,digestive_health_education
7769,0.22154975,Low Intent,Retarget with awareness ad or product education,1,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
1876,0.053483363,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8227,0.020163924,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8033,0.19850387,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
6137,0.9402789,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
5491,0.30617586,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
5357,0.005568552,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8638,0.8523987,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
8511,0.66181207,Medium Intent,Send educational content about Nattoguard benefits,0,2,High-Value Intent Users,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
895,0.11511097,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7162,0.14807294,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
2762,0.003190191,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
6689,0.008654735,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
12193,0.077908516,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7099,0.22586341,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
11652,0.70557374,Medium Intent,Send educational content about Nattoguard benefits,0,1,Moderate Interest Visitors,Priority 3 - Education Needed,Educational Nurture Campaign,Email Newsletter / Product Education,digestive_health_education
3850,0.007543899,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8036,0.057769097,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7972,0.21817207,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
11932,0.2226891,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7019,0.42540795,Medium Intent,Send educational content about Nattoguard benefits,0,1,Moderate Interest Visitors,Priority 3 - Education Needed,Educational Nurture Campaign,Email Newsletter / Product Education,digestive_health_education
5804,0.9346026,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
9813,0.4778715,Medium Intent,Send educational content about Nattoguard benefits,0,1,Moderate Interest Visitors,Priority 3 - Education Needed,Educational Nurture Campaign,Email Newsletter / Product Education,digestive_health_education
6105,0.27672118,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10845,0.010825498,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
133,0.04053601,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
4162,0.0026995724,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
5985,0.13439408,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
2689,0.0016968183,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
3187,0.0067009963,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
5710,0.109834865,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
11921,0.10147726,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
5278,0.0066886805,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7762,0.15415879,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
5888,0.17006104,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8010,0.23528837,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
6513,0.2774156,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
2140,0.004490175,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
9472,0.8433832,High Intent,Send checkout reminder or limited-time offer,1,2,High-Value Intent Users,Priority 1 - Immediate Conversion,Conversion Campaign,Email + SMS,checkout_support
11682,0.28033066,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
9686,0.04752472,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
6389,0.5863331,Medium Intent,Send educational content about Nattoguard benefits,0,2,High-Value Intent Users,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
8298,0.16900702,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
2134,0.009000791,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10647,0.14053136,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
2880,0.01602525,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
4829,0.6377952,Medium Intent,Send educational content about Nattoguard benefits,1,1,Moderate Interest Visitors,Priority 3 - Education Needed,Educational Nurture Campaign,Email Newsletter / Product Education,digestive_health_education
10469,0.24061602,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7095,0.77167135,High Intent,Send checkout reminder or limited-time offer,0,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
6159,0.053754475,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
2777,0.00071644224,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8709,0.9854855,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
2025,0.93595386,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
7731,0.714141,Medium Intent,Send educational content about Nattoguard benefits,1,2,High-Value Intent Users,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
10602,0.22213377,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
4743,0.0015634171,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
1382,0.91171217,High Intent,Send checkout reminder or limited-time offer,0,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
11512,0.9348809,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
10696,0.60207653,Medium Intent,Send educational content about Nattoguard benefits,0,2,High-Value Intent Users,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
554,0.007010912,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10024,0.83686537,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
5014,0.0057165595,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
3952,0.009179753,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
247,0.018854108,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
11430,0.94550836,High Intent,Send checkout reminder or limited-time offer,0,2,High-Value Intent Users,Priority 1 - Immediate Conversion,Conversion Campaign,Email + SMS,checkout_support
576,0.001208197,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
410,0.025090726,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8783,0.4728453,Medium Intent,Send educational content about Nattoguard benefits,0,2,High-Value Intent Users,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
4730,0.0050052023,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8059,0.03048532,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8337,0.40664792,Medium Intent,Send educational content about Nattoguard benefits,0,1,Moderate Interest Visitors,Priority 3 - Education Needed,Educational Nurture Campaign,Email Newsletter / Product Education,digestive_health_education
5,0.032994404,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
9861,0.29689875,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10195,0.90678614,High Intent,Send checkout reminder or limited-time offer,1,2,High-Value Intent Users,Priority 1 - Immediate Conversion,Conversion Campaign,Email + SMS,checkout_support
5343,0.06252693,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
12015,0.386028,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
4959,0.0069382796,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
741,0.03352266,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
9510,0.52886915,Medium Intent,Send educational content about Nattoguard benefits,1,2,High-Value Intent Users,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
10185,0.09817199,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8629,0.7883885,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
1845,0.0010051415,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
4722,0.786326,High Intent,Send checkout reminder or limited-time offer,1,2,High-Value Intent Users,Priority 1 - Immediate Conversion,Conversion Campaign,Email + SMS,checkout_support
2109,0.0060880478,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
384,0.013020392,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10092,0.98861897,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
11190,0.7692499,High Intent,Send checkout reminder or limited-time offer,0,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
2291,0.008930182,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
4488,0.0068124016,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
10255,0.020993544,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
3587,0.006980504,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8811,0.8744781,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
5852,0.49296698,Medium Intent,Send educational content about Nattoguard benefits,0,2,High-Value Intent Users,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
1735,0.035896156,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
3906,0.63649094,Medium Intent,Send educational content about Nattoguard benefits,1,2,High-Value Intent Users,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
7790,0.29786712,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
9958,0.11229025,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
835,0.7815932,High Intent,Send checkout reminder or limited-time offer,0,2,High-Value Intent Users,Priority 1 - Immediate Conversion,Conversion Campaign,Email + SMS,checkout_support
9153,0.89539677,High Intent,Send checkout reminder or limited-time offer,1,2,High-Value Intent Users,Priority 1 - Immediate Conversion,Conversion Campaign,Email + SMS,checkout_support
2143,0.8356272,High Intent,Send checkout reminder or limited-time offer,0,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
6546,0.8021385,High Intent,Send checkout reminder or limited-time offer,0,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
2509,0.010484128,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
8505,0.7123664,Medium Intent,Send educational content about Nattoguard benefits,0,2,High-Value Intent Users,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
5744,0.9096842,High Intent,Send checkout reminder or limited-time offer,0,2,High-Value Intent Users,Priority 1 - Immediate Conversion,Conversion Campaign,Email + SMS,checkout_support
5070,0.0072930465,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
5471,0.97387695,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
11264,0.3999596,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
998,0.022111712,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7480,0.012152906,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
6676,0.42648828,Medium Intent,Send educational content about Nattoguard benefits,0,1,Moderate Interest Visitors,Priority 3 - Education Needed,Educational Nurture Campaign,Email Newsletter / Product Education,digestive_health_education
9752,0.22148366,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
533,0.0078040613,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
11671,0.4972251,Medium Intent,Send educational content about Nattoguard benefits,0,1,Moderate Interest Visitors,Priority 3 - Education Needed,Educational Nurture Campaign,Email Newsletter / Product Education,digestive_health_education
8862,0.19480039,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
678,0.027928906,Low Intent,Retarget with awareness ad or product education,0,2,High-Value Intent Users,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
7382,0.3428682,Low Intent,Retarget with awareness ad or product education,0,1,Moderate Interest Visitors,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
11871,0.005948773,Low Intent,Retarget with awareness ad or product education,0,0,Low Engagement Browsers,Priority 4 - Awareness / Retargeting,Awareness Campaign,Meta Awareness Ads / Blog Content,general_awareness
5540,0.89092976,High Intent,Send checkout reminder or limited-time offer,1,1,Moderate Interest Visitors,Priority 2 - Strong Conversion Opportunity,Retargeting + Offer Campaign,Email + Meta Retargeting Ads,product_benefits
8683,0.6676976,Medium Intent,Send educational content about Nattoguard benefits,0,1,Moderate Interest Visitors,Priority 3 - Education Needed,Educational Nurture Campaign,Email Newsletter / Product Education,digestive_health_education
