session_id,purchase_probability,intent_segment,recommended_action,actual_revenue
5804,0.9346026,High Intent,Send checkout reminder or limited-time offer,1
9813,0.4778715,Medium Intent,Send educational content about Nattoguard benefits,0
6105,0.27672118,Low Intent,Retarget with awareness ad or product education,0
10845,0.010825498,Low Intent,Retarget with awareness ad or product education,0
133,0.04053601,Low Intent,Retarget with awareness ad or product education,0
4162,0.0026995724,Low Intent,Retarget with awareness ad or product education,0
5985,0.13439408,Low Intent,Retarget with awareness ad or product education,0
2689,0.0016968183,Low Intent,Retarget with awareness ad or product education,0
3187,0.0067009963,Low Intent,Retarget with awareness ad or product education,0
5710,0.109834865,Low Intent,Retarget with awareness ad or product education,0
11921,0.10147726,Low Intent,Retarget with awareness ad or product education,0
5278,0.0066886805,Low Intent,Retarget with awareness ad or product education,0
7762,0.15415879,Low Intent,Retarget with awareness ad or product education,0
5888,0.17006104,Low Intent,Retarget with awareness ad or product education,0
8010,0.23528837,Low Intent,Retarget with awareness ad or product education,0
6513,0.2774156,Low Intent,Retarget with awareness ad or product education,0
2140,0.004490175,Low Intent,Retarget with awareness ad or product education,0
9472,0.8433832,High Intent,Send checkout reminder or limited-time offer,1
11682,0.28033066,Low Intent,Retarget with awareness ad or product education,0
9686,0.04752472,Low Intent,Retarget with awareness ad or product education,0
6389,0.5863331,Medium Intent,Send educational content about Nattoguard benefits,0
8298,0.16900702,Low Intent,Retarget with awareness ad or product education,0
2134,0.009000791,Low Intent,Retarget with awareness ad or product education,0
10647,0.14053136,Low Intent,Retarget with awareness ad or product education,0
2880,0.01602525,Low Intent,Retarget with awareness ad or product education,0
4829,0.6377952,Medium Intent,Send educational content about Nattoguard benefits,1
10469,0.24061602,Low Intent,Retarget with awareness ad or product education,0
7095,0.77167135,High Intent,Send checkout reminder or limited-time offer,0
6159,0.053754475,Low Intent,Retarget with awareness ad or product education,0
2777,0.00071644224,Low Intent,Retarget with awareness ad or product education,0
8709,0.9854855,High Intent,Send checkout reminder or limited-time offer,1
2025,0.93595386,High Intent,Send checkout reminder or limited-time offer,1
7731,0.714141,Medium Intent,Send educational content about Nattoguard benefits,1
10602,0.22213377,Low Intent,Retarget with awareness ad or product education,0
4743,0.0015634171,Low Intent,Retarget with awareness ad or product education,0
1382,0.91171217,High Intent,Send checkout reminder or limited-time offer,0
11512,0.9348809,High Intent,Send checkout reminder or limited-time offer,1
10696,0.60207653,Medium Intent,Send educational content about Nattoguard benefits,0
554,0.007010912,Low Intent,Retarget with awareness ad or product education,0
10024,0.83686537,High Intent,Send checkout reminder or limited-time offer,1
5014,0.0057165595,Low Intent,Retarget with awareness ad or product education,0
3952,0.009179753,Low Intent,Retarget with awareness ad or product education,0
247,0.018854108,Low Intent,Retarget with awareness ad or product education,0
11430,0.94550836,High Intent,Send checkout reminder or limited-time offer,0
576,0.001208197,Low Intent,Retarget with awareness ad or product education,0
410,0.025090726,Low Intent,Retarget with awareness ad or product education,0
8783,0.4728453,Medium Intent,Send educational content about Nattoguard benefits,0
4730,0.0050052023,Low Intent,Retarget with awareness ad or product education,0
8059,0.03048532,Low Intent,Retarget with awareness ad or product education,0
8337,0.40664792,Medium Intent,Send educational content about Nattoguard benefits,0
5,0.032994404,Low Intent,Retarget with awareness ad or product education,0
9861,0.29689875,Low Intent,Retarget with awareness ad or product education,0
10195,0.90678614,High Intent,Send checkout reminder or limited-time offer,1
5343,0.06252693,Low Intent,Retarget with awareness ad or product education,0
12015,0.386028,Low Intent,Retarget with awareness ad or product education,0
4959,0.0069382796,Low Intent,Retarget with awareness ad or product education,0
741,0.03352266,Low Intent,Retarget with awareness ad or product education,0
9510,0.52886915,Medium Intent,Send educational content about Nattoguard benefits,1
10185,0.09817199,Low Intent,Retarget with awareness ad or product education,0
8629,0.7883885,High Intent,Send checkout reminder or limited-time offer,1
1845,0.0010051415,Low Intent,Retarget with awareness ad or product education,0
4722,0.786326,High Intent,Send checkout reminder or limited-time offer,1
2109,0.0060880478,Low Intent,Retarget with awareness ad or product education,0
384,0.013020392,Low Intent,Retarget with awareness ad or product education,0
10092,0.98861897,High Intent,Send checkout reminder or limited-time offer,1
11190,0.7692499,High Intent,Send checkout reminder or limited-time offer,0
2291,0.008930182,Low Intent,Retarget with awareness ad or product education,0
4488,0.0068124016,Low Intent,Retarget with awareness ad or product education,0
10255,0.020993544,Low Intent,Retarget with awareness ad or product education,0
3587,0.006980504,Low Intent,Retarget with awareness ad or product education,0
8811,0.8744781,High Intent,Send checkout reminder or limited-time offer,1
5852,0.49296698,Medium Intent,Send educational content about Nattoguard benefits,0
1735,0.035896156,Low Intent,Retarget with awareness ad or product education,0
3906,0.63649094,Medium Intent,Send educational content about Nattoguard benefits,1
7790,0.29786712,Low Intent,Retarget with awareness ad or product education,0
9958,0.11229025,Low Intent,Retarget with awareness ad or product education,0
835,0.7815932,High Intent,Send checkout reminder or limited-time offer,0
9153,0.89539677,High Intent,Send checkout reminder or limited-time offer,1
2143,0.8356272,High Intent,Send checkout reminder or limited-time offer,0
6546,0.8021385,High Intent,Send checkout reminder or limited-time offer,0
2509,0.010484128,Low Intent,Retarget with awareness ad or product education,0
8505,0.7123664,Medium Intent,Send educational content about Nattoguard benefits,0
5744,0.9096842,High Intent,Send checkout reminder or limited-time offer,0
5070,0.0072930465,Low Intent,Retarget with awareness ad or product education,0
5471,0.97387695,High Intent,Send checkout reminder or limited-time offer,1
11264,0.3999596,Low Intent,Retarget with awareness ad or product education,0
998,0.022111712,Low Intent,Retarget with awareness ad or product education,0
7480,0.012152906,Low Intent,Retarget with awareness ad or product education,0
6676,0.42648828,Medium Intent,Send educational content about Nattoguard benefits,0
9752,0.22148366,Low Intent,Retarget with awareness ad or product education,0
533,0.0078040613,Low Intent,Retarget with awareness ad or product education,0
11671,0.4972251,Medium Intent,Send educational content about Nattoguard benefits,0
8862,0.19480039,Low Intent,Retarget with awareness ad or product education,0
678,0.027928906,Low Intent,Retarget with awareness ad or product education,0
7382,0.3428682,Low Intent,Retarget with awareness ad or product education,0
11871,0.005948773,Low Intent,Retarget with awareness ad or product education,0
5540,0.89092976,High Intent,Send checkout reminder or limited-time offer,1
8683,0.6676976,Medium Intent,Send educational content about Nattoguard benefits,0
166,0.02769282,Low Intent,Retarget with awareness ad or product education,0
9543,0.042469196,Low Intent,Retarget with awareness ad or product education,0
11258,0.027146291,Low Intent,Retarget with awareness ad or product education,0
10952,0.20675227,Low Intent,Retarget with awareness ad or product education,0
9664,0.89631784,High Intent,Send checkout reminder or limited-time offer,1
1573,0.007061832,Low Intent,Retarget with awareness ad or product education,0
9727,0.046701144,Low Intent,Retarget with awareness ad or product education,0
10087,0.91589266,High Intent,Send checkout reminder or limited-time offer,0
11758,0.53769505,Medium Intent,Send educational content about Nattoguard benefits,1
3377,0.004177145,Low Intent,Retarget with awareness ad or product education,0
8874,0.14258078,Low Intent,Retarget with awareness ad or product education,0
10036,0.3801511,Low Intent,Retarget with awareness ad or product education,0
11348,0.36275235,Low Intent,Retarget with awareness ad or product education,0
713,0.0119861225,Low Intent,Retarget with awareness ad or product education,0
4934,0.009056201,Low Intent,Retarget with awareness ad or product education,0
3283,0.006071865,Low Intent,Retarget with awareness ad or product education,0
7207,0.22679073,Low Intent,Retarget with awareness ad or product education,0
4771,0.0042493865,Low Intent,Retarget with awareness ad or product education,0
11303,0.015379552,Low Intent,Retarget with awareness ad or product education,0
4666,0.0017080121,Low Intent,Retarget with awareness ad or product education,0
9871,0.7761063,High Intent,Send checkout reminder or limited-time offer,0
10107,0.33283588,Low Intent,Retarget with awareness ad or product education,0
5365,0.016878873,Low Intent,Retarget with awareness ad or product education,0
683,0.67710596,Medium Intent,Send educational content about Nattoguard benefits,1
9724,0.52489406,Medium Intent,Send educational content about Nattoguard benefits,0
4590,0.00091312913,Low Intent,Retarget with awareness ad or product education,0
3383,0.011354523,Low Intent,Retarget with awareness ad or product education,0
5745,0.05251342,Low Intent,Retarget with awareness ad or product education,0
8246,0.1253289,Low Intent,Retarget with awareness ad or product education,0
6253,0.1974175,Low Intent,Retarget with awareness ad or product education,1
11322,0.6431169,Medium Intent,Send educational content about Nattoguard benefits,1
9611,0.6242506,Medium Intent,Send educational content about Nattoguard benefits,0
5765,0.80407006,High Intent,Send checkout reminder or limited-time offer,1
5279,0.0021713618,Low Intent,Retarget with awareness ad or product education,0
6534,0.54116404,Medium Intent,Send educational content about Nattoguard benefits,1
4,0.020308694,Low Intent,Retarget with awareness ad or product education,0
3135,0.011135274,Low Intent,Retarget with awareness ad or product education,0
6247,0.30106714,Low Intent,Retarget with awareness ad or product education,1
3284,0.9815683,High Intent,Send checkout reminder or limited-time offer,1
7934,0.70116,Medium Intent,Send educational content about Nattoguard benefits,0
11787,0.56618494,Medium Intent,Send educational content about Nattoguard benefits,0
2760,0.65467507,Medium Intent,Send educational content about Nattoguard benefits,1
5408,0.13291384,Low Intent,Retarget with awareness ad or product education,0
11173,0.098969646,Low Intent,Retarget with awareness ad or product education,0
950,0.01860789,Low Intent,Retarget with awareness ad or product education,0
4984,0.016510444,Low Intent,Retarget with awareness ad or product education,0
7758,0.25541034,Low Intent,Retarget with awareness ad or product education,0
1424,0.013943674,Low Intent,Retarget with awareness ad or product education,0
7596,0.098566025,Low Intent,Retarget with awareness ad or product education,0
10015,0.8612762,High Intent,Send checkout reminder or limited-time offer,0
1022,0.016797591,Low Intent,Retarget with awareness ad or product education,0
12060,0.92996067,High Intent,Send checkout reminder or limited-time offer,0
9394,0.5888959,Medium Intent,Send educational content about Nattoguard benefits,0
10857,0.0042405343,Low Intent,Retarget with awareness ad or product education,0
7459,0.30028492,Low Intent,Retarget with awareness ad or product education,0
4619,0.0011325064,Low Intent,Retarget with awareness ad or product education,0
5769,0.2877923,Low Intent,Retarget with awareness ad or product education,0
235,0.0082695335,Low Intent,Retarget with awareness ad or product education,0
245,0.70628107,Medium Intent,Send educational content about Nattoguard benefits,1
3805,0.009669636,Low Intent,Retarget with awareness ad or product education,0
11461,0.75378793,High Intent,Send checkout reminder or limited-time offer,0
1986,0.0214938,Low Intent,Retarget with awareness ad or product education,0
7893,0.11688386,Low Intent,Retarget with awareness ad or product education,0
419,0.042106926,Low Intent,Retarget with awareness ad or product education,0
8267,0.7816275,High Intent,Send checkout reminder or limited-time offer,0
8269,0.93555355,High Intent,Send checkout reminder or limited-time offer,1
3379,0.9764164,High Intent,Send checkout reminder or limited-time offer,1
8312,0.09364959,Low Intent,Retarget with awareness ad or product education,0
1406,0.011452931,Low Intent,Retarget with awareness ad or product education,0
635,0.0085329795,Low Intent,Retarget with awareness ad or product education,0
4179,0.003794387,Low Intent,Retarget with awareness ad or product education,0
902,0.01107037,Low Intent,Retarget with awareness ad or product education,0
7701,0.12596954,Low Intent,Retarget with awareness ad or product education,0
5437,0.108289525,Low Intent,Retarget with awareness ad or product education,0
9651,0.53026444,Medium Intent,Send educational content about Nattoguard benefits,0
6852,0.28451744,Low Intent,Retarget with awareness ad or product education,0
6802,0.96758044,High Intent,Send checkout reminder or limited-time offer,1
5235,0.45670348,Medium Intent,Send educational content about Nattoguard benefits,1
1014,0.0017489034,Low Intent,Retarget with awareness ad or product education,0
3540,0.0006897417,Low Intent,Retarget with awareness ad or product education,0
108,0.031098071,Low Intent,Retarget with awareness ad or product education,0
5754,0.062923655,Low Intent,Retarget with awareness ad or product education,0
11415,0.08867229,Low Intent,Retarget with awareness ad or product education,0
7350,0.25485596,Low Intent,Retarget with awareness ad or product education,0
8722,0.910184,High Intent,Send checkout reminder or limited-time offer,1
10560,0.67474604,Medium Intent,Send educational content about Nattoguard benefits,1
10638,0.9792324,High Intent,Send checkout reminder or limited-time offer,1
1905,0.045590166,Low Intent,Retarget with awareness ad or product education,0
11288,0.24968462,Low Intent,Retarget with awareness ad or product education,0
3811,0.004819303,Low Intent,Retarget with awareness ad or product education,0
10664,0.3644691,Low Intent,Retarget with awareness ad or product education,0
1420,0.008373925,Low Intent,Retarget with awareness ad or product education,0
3444,0.009866812,Low Intent,Retarget with awareness ad or product education,0
6131,0.98794377,High Intent,Send checkout reminder or limited-time offer,1
1341,0.006912435,Low Intent,Retarget with awareness ad or product education,0
1512,0.0250961,Low Intent,Retarget with awareness ad or product education,0
3240,0.010971316,Low Intent,Retarget with awareness ad or product education,0
5369,0.0014557282,Low Intent,Retarget with awareness ad or product education,0
687,0.01569827,Low Intent,Retarget with awareness ad or product education,0
3669,0.014030746,Low Intent,Retarget with awareness ad or product education,0
2587,0.008058331,Low Intent,Retarget with awareness ad or product education,0
11349,0.7136731,Medium Intent,Send educational content about Nattoguard benefits,0
4846,0.59588397,Medium Intent,Send educational content about Nattoguard benefits,1
11404,0.4695851,Medium Intent,Send educational content about Nattoguard benefits,1
614,0.018055085,Low Intent,Retarget with awareness ad or product education,0
8812,0.9257988,High Intent,Send checkout reminder or limited-time offer,0
2960,0.00263442,Low Intent,Retarget with awareness ad or product education,0
6819,0.04398377,Low Intent,Retarget with awareness ad or product education,0
4687,0.6933764,Medium Intent,Send educational content about Nattoguard benefits,0
11244,0.51992327,Medium Intent,Send educational content about Nattoguard benefits,0
6884,0.22816563,Low Intent,Retarget with awareness ad or product education,0
535,0.019460615,Low Intent,Retarget with awareness ad or product education,0
7411,0.2183713,Low Intent,Retarget with awareness ad or product education,0
11491,0.17551741,Low Intent,Retarget with awareness ad or product education,0
4677,0.01183486,Low Intent,Retarget with awareness ad or product education,0
2688,0.8792385,High Intent,Send checkout reminder or limited-time offer,1
12187,0.9302208,High Intent,Send checkout reminder or limited-time offer,1
3902,0.0055354005,Low Intent,Retarget with awareness ad or product education,0
6694,0.8197257,High Intent,Send checkout reminder or limited-time offer,0
1495,0.003919583,Low Intent,Retarget with awareness ad or product education,0
3382,0.00045292763,Low Intent,Retarget with awareness ad or product education,0
9147,0.1793652,Low Intent,Retarget with awareness ad or product education,0
4145,0.0047993464,Low Intent,Retarget with awareness ad or product education,0
9626,0.31396702,Low Intent,Retarget with awareness ad or product education,0
6995,0.36618465,Low Intent,Retarget with awareness ad or product education,0
1800,0.0032706172,Low Intent,Retarget with awareness ad or product education,0
8822,0.51162827,Medium Intent,Send educational content about Nattoguard benefits,0
2252,0.0057641775,Low Intent,Retarget with awareness ad or product education,0
4408,0.0071261376,Low Intent,Retarget with awareness ad or product education,0
10047,0.11221244,Low Intent,Retarget with awareness ad or product education,0
8357,0.5751367,Medium Intent,Send educational content about Nattoguard benefits,0
8432,0.20017056,Low Intent,Retarget with awareness ad or product education,0
8086,0.2953171,Low Intent,Retarget with awareness ad or product education,0
5499,0.84948224,High Intent,Send checkout reminder or limited-time offer,1
325,0.013669874,Low Intent,Retarget with awareness ad or product education,0
1393,0.036623374,Low Intent,Retarget with awareness ad or product education,0
8055,0.33165333,Low Intent,Retarget with awareness ad or product education,0
3288,0.0021144645,Low Intent,Retarget with awareness ad or product education,0
6571,0.66717446,Medium Intent,Send educational content about Nattoguard benefits,0
361,0.014968542,Low Intent,Retarget with awareness ad or product education,0
6485,0.06586984,Low Intent,Retarget with awareness ad or product education,0
9983,0.33088523,Low Intent,Retarget with awareness ad or product education,1
9956,0.2382477,Low Intent,Retarget with awareness ad or product education,0
12189,0.020211285,Low Intent,Retarget with awareness ad or product education,0
952,0.04211443,Low Intent,Retarget with awareness ad or product education,0
7571,0.019018918,Low Intent,Retarget with awareness ad or product education,0
2253,0.9908009,High Intent,Send checkout reminder or limited-time offer,1
627,0.9858326,High Intent,Send checkout reminder or limited-time offer,1
10160,0.117680766,Low Intent,Retarget with awareness ad or product education,0
9137,0.11121924,Low Intent,Retarget with awareness ad or product education,0
303,0.0020456957,Low Intent,Retarget with awareness ad or product education,0
4049,0.00591427,Low Intent,Retarget with awareness ad or product education,0
1875,0.95465654,High Intent,Send checkout reminder or limited-time offer,1
7003,0.72660536,Medium Intent,Send educational content about Nattoguard benefits,1
10668,0.16424827,Low Intent,Retarget with awareness ad or product education,0
11813,0.21017675,Low Intent,Retarget with awareness ad or product education,1
4462,0.7266042,Medium Intent,Send educational content about Nattoguard benefits,0
7370,0.053725,Low Intent,Retarget with awareness ad or product education,0
7386,0.4096238,Medium Intent,Send educational content about Nattoguard benefits,0
8224,0.18189788,Low Intent,Retarget with awareness ad or product education,0
1100,0.028044768,Low Intent,Retarget with awareness ad or product education,0
3045,0.0045563346,Low Intent,Retarget with awareness ad or product education,0
619,0.012575774,Low Intent,Retarget with awareness ad or product education,0
8934,0.4082632,Medium Intent,Send educational content about Nattoguard benefits,1
1853,0.012494476,Low Intent,Retarget with awareness ad or product education,0
2270,0.0009538153,Low Intent,Retarget with awareness ad or product education,0
8799,0.21727511,Low Intent,Retarget with awareness ad or product education,0
2808,0.0008225102,Low Intent,Retarget with awareness ad or product education,0
5543,0.14993598,Low Intent,Retarget with awareness ad or product education,0
9,0.07788577,Low Intent,Retarget with awareness ad or product education,0
3846,0.008408185,Low Intent,Retarget with awareness ad or product education,0
10822,0.24507152,Low Intent,Retarget with awareness ad or product education,0
11428,0.023681713,Low Intent,Retarget with awareness ad or product education,0
5143,0.007982288,Low Intent,Retarget with awareness ad or product education,0
12056,0.7362196,Medium Intent,Send educational content about Nattoguard benefits,0
7982,0.33818546,Low Intent,Retarget with awareness ad or product education,0
4803,0.0064108735,Low Intent,Retarget with awareness ad or product education,0
1861,0.94099975,High Intent,Send checkout reminder or limited-time offer,1
10475,0.39372537,Low Intent,Retarget with awareness ad or product education,0
11893,0.05317973,Low Intent,Retarget with awareness ad or product education,0
8551,0.05925703,Low Intent,Retarget with awareness ad or product education,0
7547,0.054035764,Low Intent,Retarget with awareness ad or product education,0
4191,0.0007972616,Low Intent,Retarget with awareness ad or product education,0
3033,0.0023990818,Low Intent,Retarget with awareness ad or product education,0
10209,0.5620683,Medium Intent,Send educational content about Nattoguard benefits,0
4940,0.005709406,Low Intent,Retarget with awareness ad or product education,0
11990,0.20681792,Low Intent,Retarget with awareness ad or product education,0
5706,0.08649192,Low Intent,Retarget with awareness ad or product education,0
2036,0.9673282,High Intent,Send checkout reminder or limited-time offer,1
3877,0.010358977,Low Intent,Retarget with awareness ad or product education,0
6340,0.19514541,Low Intent,Retarget with awareness ad or product education,0
3364,0.9036343,High Intent,Send checkout reminder or limited-time offer,1
5353,0.8877113,High Intent,Send checkout reminder or limited-time offer,1
10875,0.024320787,Low Intent,Retarget with awareness ad or product education,0
7200,0.6282439,Medium Intent,Send educational content about Nattoguard benefits,0
9413,0.0062014805,Low Intent,Retarget with awareness ad or product education,0
7093,0.8964711,High Intent,Send checkout reminder or limited-time offer,1
5585,0.22484101,Low Intent,Retarget with awareness ad or product education,0
9252,0.0067235427,Low Intent,Retarget with awareness ad or product education,0
11852,0.16785732,Low Intent,Retarget with awareness ad or product education,0
9097,0.87727,High Intent,Send checkout reminder or limited-time offer,1
9410,0.36070737,Low Intent,Retarget with awareness ad or product education,0
4582,0.0033214835,Low Intent,Retarget with awareness ad or product education,0
4793,0.9780701,High Intent,Send checkout reminder or limited-time offer,1
3183,0.007610679,Low Intent,Retarget with awareness ad or product education,0
4397,0.6791696,Medium Intent,Send educational content about Nattoguard benefits,0
11730,0.6554213,Medium Intent,Send educational content about Nattoguard benefits,0
11002,0.0054662386,Low Intent,Retarget with awareness ad or product education,0
10570,0.28777474,Low Intent,Retarget with awareness ad or product education,0
10719,0.39719218,Low Intent,Retarget with awareness ad or product education,0
11905,0.5214621,Medium Intent,Send educational content about Nattoguard benefits,0
1807,0.0023318767,Low Intent,Retarget with awareness ad or product education,0
12150,0.312313,Low Intent,Retarget with awareness ad or product education,0
8435,0.59265494,Medium Intent,Send educational content about Nattoguard benefits,0
9961,0.25931308,Low Intent,Retarget with awareness ad or product education,0
6843,0.74470425,Medium Intent,Send educational content about Nattoguard benefits,0
5101,0.009999419,Low Intent,Retarget with awareness ad or product education,0
7017,0.8838746,High Intent,Send checkout reminder or limited-time offer,0
11771,0.13200761,Low Intent,Retarget with awareness ad or product education,0
8996,0.031911712,Low Intent,Retarget with awareness ad or product education,0
1176,0.07937103,Low Intent,Retarget with awareness ad or product education,0
11464,0.12949756,Low Intent,Retarget with awareness ad or product education,0
2497,0.0033409693,Low Intent,Retarget with awareness ad or product education,0
10144,0.57797766,Medium Intent,Send educational content about Nattoguard benefits,0
11779,0.13675763,Low Intent,Retarget with awareness ad or product education,0
11012,0.49629346,Medium Intent,Send educational content about Nattoguard benefits,1
4136,0.006908155,Low Intent,Retarget with awareness ad or product education,0
3673,0.007817505,Low Intent,Retarget with awareness ad or product education,0
11654,0.45909292,Medium Intent,Send educational content about Nattoguard benefits,1
10814,0.6303694,Medium Intent,Send educational content about Nattoguard benefits,0
1391,0.9751813,High Intent,Send checkout reminder or limited-time offer,0
9194,0.89073217,High Intent,Send checkout reminder or limited-time offer,0
10409,0.3408034,Low Intent,Retarget with awareness ad or product education,0
9201,0.05652668,Low Intent,Retarget with awareness ad or product education,0
1940,0.013213337,Low Intent,Retarget with awareness ad or product education,0
10802,0.86149496,High Intent,Send checkout reminder or limited-time offer,1
2819,0.0016605699,Low Intent,Retarget with awareness ad or product education,0
9747,0.9693792,High Intent,Send checkout reminder or limited-time offer,1
3216,0.0061914967,Low Intent,Retarget with awareness ad or product education,0
10796,0.1444948,Low Intent,Retarget with awareness ad or product education,0
10386,0.40373892,Medium Intent,Send educational content about Nattoguard benefits,0
5984,0.58545756,Medium Intent,Send educational content about Nattoguard benefits,0
2637,0.0022907755,Low Intent,Retarget with awareness ad or product education,0
1672,0.0016070473,Low Intent,Retarget with awareness ad or product education,0
894,0.022137059,Low Intent,Retarget with awareness ad or product education,0
11066,0.08987293,Low Intent,Retarget with awareness ad or product education,0
4092,0.8724977,High Intent,Send checkout reminder or limited-time offer,0
10565,0.8528218,High Intent,Send checkout reminder or limited-time offer,1
7232,0.35308948,Low Intent,Retarget with awareness ad or product education,1
2716,0.98627824,High Intent,Send checkout reminder or limited-time offer,1
8633,0.029663846,Low Intent,Retarget with awareness ad or product education,0
5942,0.99122053,High Intent,Send checkout reminder or limited-time offer,1
5847,0.026478948,Low Intent,Retarget with awareness ad or product education,0
3006,0.019866526,Low Intent,Retarget with awareness ad or product education,0
5851,0.19925724,Low Intent,Retarget with awareness ad or product education,0
2354,0.014811234,Low Intent,Retarget with awareness ad or product education,0
3640,0.022566482,Low Intent,Retarget with awareness ad or product education,0
6573,0.82659656,High Intent,Send checkout reminder or limited-time offer,1
6373,0.37950236,Low Intent,Retarget with awareness ad or product education,0
11969,0.10532443,Low Intent,Retarget with awareness ad or product education,0
2974,0.0036173982,Low Intent,Retarget with awareness ad or product education,0
8405,0.0071563353,Low Intent,Retarget with awareness ad or product education,0
1367,0.0011488523,Low Intent,Retarget with awareness ad or product education,0
8640,0.9691027,High Intent,Send checkout reminder or limited-time offer,1
8410,0.10778164,Low Intent,Retarget with awareness ad or product education,0
1623,0.004703171,Low Intent,Retarget with awareness ad or product education,0
7723,0.79066944,High Intent,Send checkout reminder or limited-time offer,1
3305,0.0003411301,Low Intent,Retarget with awareness ad or product education,0
4966,0.0053174663,Low Intent,Retarget with awareness ad or product education,0
2149,0.012680139,Low Intent,Retarget with awareness ad or product education,0
6590,0.31191298,Low Intent,Retarget with awareness ad or product education,0
10330,0.35510594,Low Intent,Retarget with awareness ad or product education,0
5479,0.12769528,Low Intent,Retarget with awareness ad or product education,0
3124,0.017749645,Low Intent,Retarget with awareness ad or product education,0
7044,0.21906404,Low Intent,Retarget with awareness ad or product education,0
6614,0.9339576,High Intent,Send checkout reminder or limited-time offer,1
11784,0.7042765,Medium Intent,Send educational content about Nattoguard benefits,0
7004,0.19994752,Low Intent,Retarget with awareness ad or product education,0
6130,0.17430483,Low Intent,Retarget with awareness ad or product education,0
2753,0.0029114333,Low Intent,Retarget with awareness ad or product education,0
7224,0.7378742,Medium Intent,Send educational content about Nattoguard benefits,1
10581,0.95360535,High Intent,Send checkout reminder or limited-time offer,1
3514,0.011934006,Low Intent,Retarget with awareness ad or product education,0
6515,0.03688171,Low Intent,Retarget with awareness ad or product education,0
3765,0.94903827,High Intent,Send checkout reminder or limited-time offer,1
3091,0.003816375,Low Intent,Retarget with awareness ad or product education,0
11939,0.0291799,Low Intent,Retarget with awareness ad or product education,0
719,0.010669465,Low Intent,Retarget with awareness ad or product education,0
6458,0.08908428,Low Intent,Retarget with awareness ad or product education,0
3512,0.0027286187,Low Intent,Retarget with awareness ad or product education,0
4502,0.94275665,High Intent,Send checkout reminder or limited-time offer,0
1032,0.014244839,Low Intent,Retarget with awareness ad or product education,0
8426,0.9227556,High Intent,Send checkout reminder or limited-time offer,1
6024,0.27542406,Low Intent,Retarget with awareness ad or product education,0
9634,0.05872736,Low Intent,Retarget with awareness ad or product education,0
